timestamp	trial	prompt_id	prompt_name	top1_agreement	top5_overlap	rank_p95	delta_ratio_p90	kl_mean	q6k_parity	decision	notes
2026-04-21T21:01:22	T_01_bracket_closure	1	bracket_closure	0.820	0.576	1	2.200	2.3917	PASS	FAIL	
2026-04-21T21:15:01	T_02_indentation_python	2	indentation_python	0.740	0.624	3	2.864	1.3945	PASS	FAIL	
2026-04-21T21:26:46	T_03_var_disambiguation	3	var_disambiguation	0.940	0.544	0	0.495	2.5505	PASS	FAIL	
2026-04-21T21:38:13	T_04_operator_choice	4	operator_choice	0.840	0.644	1	2.476	1.0119	PASS	FAIL	
2026-04-21T21:48:24	T_05_json_output	5	json_output	0.920	0.408	1	0.522	4.1803	PASS	FAIL	
2026-05-16T15:51:53	T_01_bracket_closure	1	bracket_closure	0.980	0.952	0	0.000	0.0180	PASS	PASS	
2026-05-16T15:58:40	T_02_indentation_python	2	indentation_python	0.960	0.976	0	0.000	0.0032	PASS	PASS	
2026-05-16T16:04:33	T_03_var_disambiguation	3	var_disambiguation	0.960	0.940	0	0.000	0.0095	PASS	PASS	
2026-05-16T16:10:20	T_04_operator_choice	4	operator_choice	0.980	0.988	0	0.000	0.0012	PASS	PASS	
2026-05-16T16:15:52	T_05_json_output	5	json_output	0.940	0.956	0	0.084	0.0073	PASS	PASS	
