sweep	method	request_size	num_requests	bytes_read	elapsed_ms	bandwidth_MBps	per_request_us
request_size	explicit_buffered	4096	32768	134217728	57.4482	2228.09	1.75
request_size	explicit_unbuffered	4096	32768	134217728	1429.6233	89.53	43.63
request_size	mmap_sequential	4096	32768	134217728	114.4893	1118.01	3.49
request_size	explicit_buffered	16384	8192	134217728	33.9598	3769.16	4.15
request_size	explicit_unbuffered	16384	8192	134217728	397.4672	322.04	48.52
request_size	mmap_sequential	16384	8192	134217728	117.0234	1093.8	14.29
request_size	explicit_buffered	65536	2048	134217728	21.3121	6005.98	10.41
request_size	explicit_unbuffered	65536	2048	134217728	133.8926	955.99	65.38
request_size	mmap_sequential	65536	2048	134217728	117.106	1093.03	57.18
request_size	explicit_buffered	262144	512	134217728	18.8963	6773.81	36.91
request_size	explicit_unbuffered	262144	512	134217728	119.6655	1069.65	233.72
request_size	mmap_sequential	262144	512	134217728	117.3316	1090.93	229.16
request_size	explicit_buffered	1048576	128	134217728	50.5128	2534.01	394.63
request_size	explicit_unbuffered	1048576	128	134217728	74.3371	1721.89	580.76
request_size	mmap_sequential	1048576	128	134217728	140.6881	909.81	1099.13
request_size	explicit_buffered	4194304	32	134217728	46.6797	2742.09	1458.74
request_size	explicit_unbuffered	4194304	32	134217728	51.1907	2500.45	1599.71
request_size	mmap_sequential	4194304	32	134217728	177.7337	720.18	5554.18
request_size	explicit_buffered	16777216	8	134217728	46.0007	2782.57	5750.09
request_size	explicit_unbuffered	16777216	8	134217728	47.9408	2669.96	5992.6
request_size	mmap_sequential	16777216	8	134217728	141.0281	907.62	17628.51
request_size	explicit_buffered	67108864	2	134217728	43.0595	2972.63	21529.75
request_size	explicit_unbuffered	67108864	2	134217728	44.859	2853.39	22429.5
request_size	mmap_sequential	67108864	2	134217728	127.1567	1006.63	63578.35
request_count	explicit_unbuffered	67108864	1	67108864	23.2178	2756.51	23217.8
request_count	explicit_buffered	67108864	1	67108864	43.789	1461.55	43789.0
request_count	explicit_unbuffered	16777216	4	67108864	24.233	2641.03	6058.25
request_count	explicit_buffered	16777216	4	67108864	42.1991	1516.62	10549.77
request_count	explicit_unbuffered	4194304	16	67108864	26.1204	2450.19	1632.53
request_count	explicit_buffered	4194304	16	67108864	33.4209	1914.97	2088.81
request_count	explicit_unbuffered	1048576	64	67108864	36.0278	1776.41	562.93
request_count	explicit_buffered	1048576	64	67108864	33.5974	1904.91	524.96
request_count	explicit_unbuffered	262144	256	67108864	60.7233	1053.96	237.2
request_count	explicit_buffered	262144	256	67108864	39.6234	1615.21	154.78
request_count	explicit_unbuffered	65536	1024	67108864	67.7502	944.65	66.16
request_count	explicit_buffered	65536	1024	67108864	58.1065	1101.43	56.74
random	random_unbuffered	4096	100	409600	8.6999	44.9	87.0
random	random_buffered	4096	100	409600	11.9602	32.66	119.6
random	mmap_random	4096	100	409600	0.2975	1313.03	2.98
random	random_unbuffered	65536	100	6553600	13.3248	469.05	133.25
random	random_buffered	65536	100	6553600	17.6589	353.93	176.59
random	mmap_random	65536	100	6553600	2.0772	3008.86	20.77
random	random_unbuffered	262144	100	26214400	25.1555	993.82	251.56
random	random_buffered	262144	100	26214400	28.5558	875.48	285.56
random	mmap_random	262144	100	26214400	7.5049	3331.16	75.05
random	random_unbuffered	1048576	100	104857600	55.0875	1815.29	550.88
random	random_buffered	1048576	100	104857600	103.8065	963.33	1038.07
random	mmap_random	1048576	100	104857600	49.8535	2005.88	498.54
random	random_unbuffered	4194304	100	419430400	162.7839	2457.25	1627.84
random	random_buffered	4194304	100	419430400	275.4242	1452.31	2754.24
random	mmap_random	4194304	100	419430400	166.4859	2402.61	1664.86
